,carid,pushDate,pushPrice,updatePriceTimeJson,展销时间,品牌 id,车系 id,车型 id,里程,车辆颜色,车辆所在城市 id,国标码,过户次数,载客人数,注册日期,上牌日期,国别,厂商类型,年款,排量,变速箱,燃油类型,新车价,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,target,fday
695,46635,2021-08-15,1.6,{'2021-08-15': 1.6},2021-08-15,17,1007,8639,3.65,1,9,2,1,5,2013-01-01,2013-02-28,779413.0,1.0,2012.0,1.5,6,1,5.39,1.0,2,2,111.0,19,2,2021-08-03,1.0,4.0,3.0,1,4568*1716*1480,201110.0,1,,1.6,0
1943,67226,2021-08-15,10.0,{'2021-08-15': 10.0},2021-08-15,90,641,11713,7.53,1,23,1,0,7,2017-12-01,2018-02-12,779413.0,1.0,2018.0,1.9,12,3,16.68,,10,2,,111,6,,2.0,4.0,2.0,1,5168*1980*1928,,1,,10.0,0
376,57555,2021-08-15,21.0,{'2021-08-15': 21.0},2021-08-15,55,1072,10315,11.16,1,1,1,1,5,2013-07-01,2013-10-14,779415.0,3.0,2013.0,3.7,15,1,77.8,,11,2,455.0,61,1,2017-09-05,1.0,5.0,2.0,3+2,4862*1928*1680,201308.0,2,,21.0,0
378,1373,2021-07-04,13.28,"{'2021-07-04': 13.28, '2021-08-15': '11.92'}",2021-08-15,61,356,1177,0.22,1,2,4,0,5,2020-12-01,2021-06-01,,1.0,2021.0,2.0,7,1,15.5,1.0,5,2,358.0,9,1,,2.0,5.0,,1+2,4625*1860*1720,202006.0,2,,11.92,42
789,3024,2021-06-21,7.9,"{'2021-06-21': 7.9, '2021-07-07': '7.7', '2021-07-19': '7.8', '2021-08-03': '7.68', '2021-08-10': '7.58', '2021-08-13': '7.48', '2021-08-15': '7.28'}",2021-08-15,8,135,1613,1.34,1,23,1,0,5,2018-12-01,2019-07-09,779412.0,2.0,2018.0,1.5,9,1,10.19,1.0,4,2,372.0,10,3,,1.0,5.0,,1,3970*1682*1462,201805.0,1,,7.28,55
605,1603,2021-07-18,4.5,"{'2021-07-18': 4.5, '2021-08-12': '5.0', '2021-08-15': '4.4'}",2021-08-15,44,170,768,12.52,2,4,2,2,5,2012-01-01,2012-05-14,779416.0,3.0,2012.0,2.0,5,1,23.89,1.0,5,2,,55,1,2017-05-02,1.0,5.0,2.0,1,4448*1812*1663,201201.0,2,,4.4,28
1426,1307,2021-08-06,14.5,"{'2021-08-06': 14.5, '2021-08-15': '12.7'}",2021-08-15,11,186,1130,5.18,6,5,1,0,5,2018-04-01,2018-09-10,779412.0,2.0,2018.0,1.4,16,1,21.38,1.0,2,2,142.0,12,3,,2.0,5.0,2.0,1+2,4321*1785*1426,201710.0,2,,12.7,9
1364,40668,2021-05-24,4.18,"{'2021-05-24': 4.18, '2021-07-06': '3.66', '2021-08-15': '3.1'}",2021-08-15,5,148,7715,4.89,4,14,2,1,5,2014-01-01,2014-04-23,779416.0,2.0,2014.0,1.4,12,1,14.99,1.0,1,2,,5,1,2018-12-12,2.0,5.0,2.0,1+2,4278*1774*1646,201311.0,1,,3.1,83
1504,648,2021-08-15,2.6,{'2021-08-15': 2.6},2021-08-15,8,219,603,10.13,2,1,2,0,5,2010-11-01,2010-12-17,779412.0,2.0,2011.0,1.6,6,1,11.28,1.0,2,2,,10,2,,1.0,4.0,3.0,1,4608*1743*1465,201008.0,2,,2.6,0
698,46638,2021-07-31,6.8,"{'2021-07-31': 6.8, '2021-08-11': '6.5', '2021-08-15': '6.3'}",2021-08-15,23,198,8640,6.81,2,1,2,1,5,2012-12-01,2012-12-11,779419.0,2.0,2011.0,2.4,3,1,22.89,1.0,6,2,,25,2,2021-04-25,1.0,4.0,3.0,1+2,4820*1835*1475,201102.0,1,,6.3,15
554,62,2021-08-15,12.3,{'2021-08-15': 12.3},2021-08-15,12,53,61,9.54,2,5,1,0,5,2017-05-01,2017-07-06,779415.0,2.0,2016.0,2.0,11,1,17.98,,5,2,42.0,13,1,,1.0,5.0,2.0,1+2,4585*1820*1685,201603.0,1,,12.3,0
593,10999,2021-08-15,9.7,{'2021-08-15': 9.7},2021-08-15,11,63,2906,10.63,1,27,2,1,5,2011-05-01,2011-05-26,779412.0,2.0,2011.0,2.0,2,1,30.98,1.0,6,2,,12,2,2021-05-12,2.0,4.0,3.0,1+2,4763*1826*1426,201009.0,2,,9.7,0
81,987,2021-08-15,3.5,{'2021-08-15': 3.5},2021-08-15,2,2,890,29.07,5,2,2,0,5,2010-09-01,2010-10-20,779415.0,2.0,2011.0,1.6,4,1,13.18,1.0,2,2,100.0,2,2,,1.0,4.0,3.0,1+2,4545*1760*1490,201009.0,2,,3.5,0
1761,986,2021-08-15,39.3,{'2021-08-15': 39.3},2021-08-15,27,382,889,8.72,1,5,1,0,7,2018-01-01,2018-07-31,779411.0,3.0,2018.0,2.0,13,1,68.8,1.0,11,2,301.0,29,1,,2.0,5.0,,1+2,4956*2073*1893,201804.0,2,,39.3,0
1614,47682,2021-08-15,80.48,{'2021-08-15': 80.48},2021-08-15,42,107,8789,6.83,5,1,1,0,5,2018-04-01,2018-08-15,779412.0,3.0,2018.0,3.0,13,1,89.5,,11,2,,43,1,,2.0,5.0,,3+2,4918*1983*1696,201711.0,2,,80.48,0
1194,4236,2021-08-15,27.66,{'2021-08-15': 27.66},2021-08-15,20,572,1779,5.37,2,1,1,0,7,2018-09-01,2018-11-26,779412.0,2.0,2018.0,2.0,15,1,34.18,,10,2,91.0,69,6,,2.0,5.0,,1+2,5370*1928*1880,201810.0,2,,27.66,0
1607,790,2021-08-15,15.2,{'2021-08-15': 15.2},2021-08-15,18,175,731,9.58,5,1,2,0,5,2010-12-01,2011-01-05,779412.0,2.0,2011.0,3.0,13,1,69.66,1.0,8,2,264.0,23,2,,2.0,4.0,3.0,3+2,5039*1860*1471,201008.0,2,,15.2,0
140,1529,2021-08-15,0.89,{'2021-08-15': 0.89},2021-08-15,8,462,1291,14.31,5,1,3,1,5,2007-01-01,2007-08-10,,,2006.0,1.6,6,1,11.25,1.0,2,2,,8,3,2008-06-27,,,,1+2,4178*1742*1444,,1,,0.89,0
1176,59689,2021-08-15,13.5,{'2021-08-15': 13.5},2021-08-15,11,63,10549,7.75,1,1,2,0,5,2013-08-01,2013-08-29,779412.0,2.0,2013.0,1.8,2,1,29.1,1.0,6,2,,12,2,,2.0,4.0,3.0,1+2,4761*1826*1439,201208.0,2,,13.5,0
1777,47050,2021-04-08,7.58,"{'2021-04-08': 7.58, '2021-05-21': '7.48', '2021-08-16': '7.45'}",2021-08-16,6,190,1174,5.24,6,5,1,1,5,2018-03-01,2018-05-24,779413.0,1.0,2018.0,1.8,3,1,12.98,1.0,5,2,146.0,6,1,2021-03-26,2.0,5.0,,1+2,4519*1831*1694,201803.0,1,,7.45,130
1211,12734,2021-08-16,2.4,{'2021-08-16': 2.4},2021-08-16,25,789,3243,8.45,1,7,1,0,5,2015-09-01,2015-11-05,779413.0,1.0,2015.0,1.4,6,1,4.39,1.0,4,2,639.0,28,2,,1.0,4.0,3.0,,4200*1650*1465,201504.0,1,2075-11-05,2.4,0
46,1312,2021-08-16,2.2,{'2021-08-16': 2.2},2021-08-16,14,430,1133,5.54,2,1,1,0,5,2015-02-01,2015-08-19,779413.0,1.0,2014.0,1.5,6,1,8.18,1.0,2,2,352.0,106,2,,1.0,4.0,3.0,1,4582*1794*1486,201404.0,1,,2.2,0
974,62951,2021-08-10,39.98,"{'2021-08-10': 39.98, '2021-08-16': '39'}",2021-08-16,27,382,11091,12.15,2,9,1,1,7,2013-03-01,2013-06-28,779411.0,3.0,2013.0,3.0,13,3,84.8,1.0,11,2,,29,1,2016-09-26,5.0,5.0,2.0,"1+2,4+2",4829*2176*1887,201211.0,1,,39.0,6
382,8250,2021-07-31,4.35,"{'2021-07-31': 4.35, '2021-08-02': '5', '2021-08-12': '4.15', '2021-08-16': '4.05'}",2021-08-16,7,7,1123,14.57,2,14,2,1,5,2010-09-01,2010-10-11,779415.0,2.0,2010.0,2.0,5,1,18.88,1.0,5,2,7.0,7,1,2021-03-12,1.0,5.0,2.0,1,4315*1783*1606,200910.0,2,,4.05,16
1551,316,2021-08-16,3.2,{'2021-08-16': 3.2},2021-08-16,8,171,303,8.66,2,1,1,0,5,2015-12-01,2016-02-05,779412.0,2.0,2015.0,1.6,6,1,10.38,1.0,2,2,,10,2,,1.0,4.0,3.0,1,4473*1706*1469,201408.0,2,,3.2,0
1938,1442,2021-08-16,13.5,{'2021-08-16': 13.5},2021-08-16,2,82,1230,2.6,2,5,1,0,5,2017-04-01,2017-05-11,779415.0,2.0,2016.0,2.0,3,1,18.78,1.0,6,2,196.0,24,2,,1.0,4.0,3.0,1+2,4850*1825*1480,201608.0,1,,13.5,0
1697,46112,2021-08-16,1.75,{'2021-08-16': 1.75},2021-08-16,8,8,8,14.35,5,1,2,0,5,2010-07-01,2010-08-09,779412.0,2.0,2010.0,1.6,6,1,7.58,1.0,2,2,,8,2,,1.0,4.0,3.0,,4415*1674*1415,201003.0,2,,1.75,0
385,678,2021-08-16,5.2,{'2021-08-16': 5.2},2021-08-16,68,271,630,10.42,4,1,2,3,4,2014-09-01,2015-04-28,,,2014.0,2.4,6,1,14.68,1.0,5,2,243.0,78,1,2021-03-19,,,,1,4350*1843*1837,201407.0,1,,5.2,0
1754,40633,2021-08-13,15.98,"{'2021-08-13': 15.98, '2021-08-16': '15.88'}",2021-08-16,15,126,7707,1.9,3,14,4,0,7,2020-04-01,2020-06-10,779413.0,1.0,2020.0,2.0,3,1,20.28,1.0,3,2,132.0,17,1,,2.0,5.0,,1+2,4835*1910*1785,201910.0,1,,15.88,3
1209,48480,2021-08-16,9.98,{'2021-08-16': 9.98},2021-08-16,45,530,8935,9.7,1,1,1,2,5,2013-09-01,2013-11-14,779415.0,3.0,2013.0,1.8,25,2,28.5,1.0,2,2,413.0,47,3,2021-04-12,1.0,5.0,2.0,1+2,4320*1765*1440,201307.0,2,,9.98,0
344,35485,2021-08-16,10.6,{'2021-08-16': 10.6},2021-08-16,11,15,6877,13.8,2,1,2,1,5,2011-01-01,2012-01-10,779412.0,2.0,2011.0,2.4,20,1,44.1,1.0,8,2,504.0,12,2,2021-07-22,1.0,4.0,3.0,1+2,5035*1855*1485,201101.0,1,,10.6,0
488,515,2021-08-10,15.0,"{'2021-08-10': 15.0, '2021-08-16': '14.1'}",2021-08-16,7,57,486,3.73,6,2,1,0,5,2019-03-01,2019-04-17,779415.0,2.0,2019.0,2.0,20,1,19.93,1.0,5,2,44.0,7,1,,1.0,5.0,,1+2,4675*1820*1722,201810.0,2,,14.1,6
1444,181,2021-08-16,3.3,{'2021-08-16': 3.3},2021-08-16,3,137,176,10.12,5,5,2,1,5,2014-04-01,2014-05-14,779416.0,2.0,2012.0,1.6,10,1,14.39,1.0,2,2,,3,2,2018-09-12,1.0,4.0,3.0,1+2,4534*1823*1483,201202.0,2,,3.3,0
1834,484,2021-08-16,6.8,{'2021-08-16': 6.8},2021-08-16,8,83,456,6.94,2,1,2,1,4,2010-09-01,2010-12-15,779412.0,2.0,2010.0,2.0,23,1,26.78,1.0,6,2,,8,2,2021-01-29,2.0,4.0,3.0,1+2,4799*1855*1417,201007.0,1,,6.8,0
1029,55795,2021-08-11,8.98,"{'2021-08-11': 8.98, '2021-08-17': '8.68'}",2021-08-17,5,90,407,6.12,2,14,1,0,5,2015-07-01,2015-10-13,779416.0,2.0,2013.0,2.4,3,1,23.59,1.0,6,2,194.0,5,2,,1.0,4.0,3.0,1+2,5005*1858*1500,201306.0,2,,8.68,6
910,66784,2021-08-17,5.0,{'2021-08-17': 5.0},2021-08-17,16,457,1266,10.84,4,1,2,0,5,2010-08-01,2010-10-26,779415.0,2.0,2010.0,2.0,21,1,19.48,1.0,6,2,242.0,18,2,,1.0,4.0,3.0,1+2,4755*1795*1440,200910.0,1,,5.0,0
373,40691,2021-08-17,4.2,{'2021-08-17': 4.2},2021-08-17,8,101,1224,7.59,5,1,2,0,5,2010-04-01,2010-06-29,779412.0,2.0,2011.0,2.0,23,1,25.18,1.0,6,2,,8,2,,2.0,4.0,3.0,1+2,4765*1820*1472,201004.0,1,,4.2,0
1230,580,2021-08-17,7.85,{'2021-08-17': 7.85},2021-08-17,50,180,541,10.38,5,1,2,2,5,2009-07-01,2009-09-07,779415.0,3.0,2009.0,2.5,17,1,26.98,1.0,5,2,218.0,54,1,2017-11-20,1.0,5.0,2.0,1+2,4560*1780*1700,,2,,7.85,0
1156,570,2021-08-17,8.0,{'2021-08-17': 8.0},2021-08-17,44,201,299,9.95,5,5,1,0,5,2017-09-01,2017-11-27,779416.0,2.0,2017.0,1.4,16,1,17.98,1.0,5,2,,46,1,,2.0,5.0,2.0,1+2,4415*1819*1625,201612.0,2,,8.0,0
1207,49737,2021-08-17,4.68,{'2021-08-17': 4.68},2021-08-17,28,121,9096,2.16,1,19,1,0,5,2018-12-01,2019-03-05,779419.0,2.0,2017.0,1.4,4,1,6.59,1.0,4,2,93.0,30,2,,1.0,4.0,3.0,1,4300*1700*1460,201709.0,1,,4.68,0
1471,72764,2021-07-21,5.08,"{'2021-07-21': 5.08, '2021-08-17': '4.38'}",2021-08-17,12,92,812,20.84,2,16,2,3,5,2008-02-01,2008-06-17,779415.0,2.0,2008.0,2.4,22,1,22.98,1.0,6,2,72.0,16,2,2018-08-23,1.0,4.0,2.0,1+2,4945*1845*1480,200801.0,2,,4.38,27
866,134,2021-08-17,4.5,{'2021-08-17': 4.5},2021-08-17,41,106,130,6.2,1,1,2,1,2,2013-01-01,2013-07-25,779412.0,3.0,2013.0,1.0,1,1,15.8,1.0,7,2,,42,3,2018-09-07,2.0,3.0,2.0,,2695*1559*1565,201306.0,1,,4.5,0
1907,51488,2021-07-10,8.2,"{'2021-07-10': 8.2, '2021-07-11': '8.15', '2021-07-16': '8.1', '2021-08-17': '7.9'}",2021-08-17,13,66,9431,3.84,5,3,1,1,5,2017-01-01,2017-03-02,779416.0,2.0,2017.0,1.5,3,1,17.99,1.0,6,2,,14,2,2021-03-10,2.0,4.0,3.0,1+2,4855*1854*1476,201608.0,2,2036-07-10,7.9,38
868,25723,2021-08-11,7.9,"{'2021-08-11': 7.9, '2021-08-16': '7.28', '2021-08-17': '7.6'}",2021-08-17,44,124,5321,3.36,1,17,1,1,5,2016-11-01,2017-05-08,779416.0,2.0,2016.0,1.4,16,1,16.68,1.0,1,2,96.0,46,1,2020-10-14,2.0,5.0,2.0,1+2,4245*1805*1695,201605.0,2,,7.6,6
1586,340,2021-08-17,13.2,{'2021-08-17': 13.2},2021-08-17,5,31,324,9.8,6,5,1,1,7,2016-05-01,2016-07-05,779416.0,2.0,2015.0,2.4,3,1,30.99,,10,2,,5,6,2018-01-24,1.0,5.0,2.0,1,5266*1878*1772,201504.0,1,,13.2,0
166,354,2021-08-17,1.6,{'2021-08-17': 1.6},2021-08-17,12,71,336,17.5,1,1,3,2,5,2007-10-01,2007-10-31,779415.0,2.0,2006.0,1.8,22,1,15.78,1.0,2,2,169.0,13,2,2012-10-17,1.0,4.0,3.0,1+2,4500*1755*1450,,2,,1.6,0
1574,54915,2021-08-17,11.9,{'2021-08-17': 11.9},2021-08-17,8,101,1264,6.61,2,1,1,1,5,2016-02-01,2016-03-31,779412.0,2.0,2016.0,1.8,16,1,23.48,1.0,6,2,,8,2,2018-07-10,2.0,4.0,3.0,1+2,4865*1820*1475,201602.0,1,,11.9,0
580,911,2021-08-02,10.5,"{'2021-08-02': 10.5, '2021-08-12': '10', '2021-08-17': '9.8'}",2021-08-17,7,113,823,3.75,7,5,4,0,5,2019-08-01,2019-11-06,779415.0,2.0,2020.0,1.6,11,1,14.3,1.0,2,2,89.0,7,2,,1.0,4.0,,1+2,4641*1815*1447,201907.0,2,,9.8,15
1549,37613,2021-08-17,1.8,{'2021-08-17': 1.8},2021-08-17,8,815,7194,16.35,2,19,3,0,5,2006-12-01,2007-01-18,779412.0,2.0,,2.0,4,1,18.68,1.0,6,2,,10,2,,1.0,4.0,3.0,1+2,4789*1765*1470,,2,,1.8,0
1098,1093,2021-08-17,11.0,{'2021-08-17': 11.0},2021-08-17,12,275,972,8.14,3,5,2,0,7,2013-09-01,2013-10-21,779415.0,2.0,2013.0,2.4,22,1,25.68,,12,2,320.0,16,6,,1.0,5.0,2.0,1+2,4810*1802*1570,201207.0,1,,11.0,0
107,54107,2021-07-03,7.98,"{'2021-07-03': 7.98, '2021-07-16': '7.68', '2021-08-17': '7.28'}",2021-08-17,8,39,9805,16.03,1,31,2,0,5,2011-09-01,2011-09-28,779412.0,2.0,2010.0,2.0,3,1,29.48,1.0,5,2,,10,1,,2.0,5.0,2.0,1+2,4525*1809*1685,201003.0,2,,7.28,45
1072,67411,2021-08-17,3.8,{'2021-08-17': 3.8},2021-08-17,11,445,11754,22.79,2,9,3,1,5,2006-05-01,2006-09-27,779412.0,3.0,2007.0,4.2,3,1,165.0,1.0,11,2,578.0,39,1,2020-10-12,1.0,5.0,2.0,1+2,5086*1983*1737,,1,,3.8,0
1662,38393,2021-08-16,13.28,"{'2021-08-16': 13.28, '2021-08-17': '13'}",2021-08-17,2,2,7312,0.32,3,31,4,0,5,2020-12-01,2021-02-03,,,2021.0,1.8,25,2,14.38,1.0,2,2,231.0,2,2,,,,,1+2,4635*1780*1455,202007.0,1,,13.0,1
15,1325,2021-08-17,5.7,{'2021-08-17': 5.7},2021-08-17,2,2,1143,5.43,5,5,2,1,5,2014-01-01,2014-03-19,779415.0,2.0,2013.0,1.6,4,1,14.08,1.0,2,2,100.0,2,2,2015-06-30,1.0,4.0,3.0,1+2,4545*1760*1490,201303.0,2,,5.7,0
1652,978,2021-08-17,17.84,{'2021-08-17': 17.84},2021-08-17,12,53,883,0.8,2,5,4,0,5,2021-03-01,2021-04-02,,,2021.0,1.5,11,1,19.58,,5,2,249.0,13,1,,,,,1+2,4621*1855*1679,202007.0,1,,17.84,0
1939,137,2021-07-04,5.6,"{'2021-07-04': 5.6, '2021-08-17': '5.4'}",2021-08-17,2,109,133,8.17,1,2,1,0,5,2017-04-01,2017-08-31,779415.0,2.0,2017.0,1.5,2,1,8.78,1.0,4,2,84.0,24,2,,1.0,4.0,3.0,1,4440*1700*1490,201708.0,1,,5.4,44
1438,44559,2021-08-17,6.5,{'2021-08-17': 6.5},2021-08-17,8,163,8311,11.12,1,1,2,0,5,2013-04-01,2013-05-21,779412.0,2.0,2013.0,1.4,16,1,18.18,1.0,14,2,338.0,10,6,,2.0,5.0,2.0,1+2,4395*1794*1658,201301.0,1,,6.5,0
1125,82,2021-08-18,7.5,{'2021-08-18': 7.5},2021-08-18,5,67,80,7.47,5,3,1,0,5,2015-12-01,2016-01-05,779416.0,2.0,2015.0,1.6,3,1,18.99,1.0,6,2,54.0,5,2,,2.0,4.0,3.0,1+2,4843*1856*1484,201410.0,1,,7.5,0
306,445,2021-07-16,24.28,"{'2021-07-16': 24.28, '2021-08-18': '23.65'}",2021-08-18,30,143,421,9.81,5,5,1,0,5,2019-03-01,2019-05-28,779418.0,2.0,2019.0,2.0,13,1,39.19,1.0,3,2,177.0,32,1,,2.0,5.0,,1+2,4688*1902*1658,201806.0,2,,23.65,33
606,1144,2021-07-15,0.8,"{'2021-07-15': 0.8, '2021-08-18': '0.2'}",2021-08-18,3,137,1011,27.53,3,2,3,2,5,2007-03-01,2007-07-06,,,2007.0,1.8,6,1,12.38,1.0,2,2,125.0,3,2,2018-01-24,,,,1+2,4480*1840*1500,,2,,0.2,34
1800,1542,2021-08-18,16.9999,{'2021-08-18': 16.9999},2021-08-18,12,275,1301,11.75,3,2,1,0,7,2017-02-01,2017-06-23,779415.0,2.0,2017.0,2.4,11,1,24.98,1.0,12,2,204.0,16,6,,1.0,5.0,2.0,1+2,4845*1805*1695,201702.0,2,,16.9999,0
484,881,2021-07-14,6.5,"{'2021-07-14': 6.5, '2021-07-21': '6', '2021-08-18': '5.3'}",2021-08-18,52,231,799,2.66,1,5,1,0,5,2017-12-01,2019-09-29,779413.0,1.0,2017.0,1.8,23,1,13.98,1.0,11,2,178.0,57,1,,2.0,5.0,2.0,1,4748*1933*1697,201705.0,2,,5.3,35
1136,66772,2021-08-18,4.6,{'2021-08-18': 4.6},2021-08-18,16,457,1266,6.29,5,14,3,0,5,2009-11-01,2009-12-15,779415.0,2.0,2010.0,2.0,21,1,19.48,1.0,6,2,242.0,18,2,,1.0,4.0,3.0,1+2,4755*1795*1440,200910.0,2,,4.6,0
226,18833,2021-08-18,7.2,{'2021-08-18': 7.2},2021-08-18,8,298,4225,8.62,7,1,2,2,4,2010-07-01,2010-12-20,779412.0,3.0,2010.0,2.0,3,1,22.73,1.0,2,2,,58,4,2021-07-12,1.0,3.0,3.0,1+2,4129*1721*1498,201004.0,1,,7.2,0
1721,1415,2021-08-18,3.35,{'2021-08-18': 3.35},2021-08-18,7,86,1208,18.9,4,5,1,0,5,2013-03-01,2013-04-10,779415.0,2.0,2011.0,1.6,11,1,12.53,1.0,2,2,68.0,7,3,,1.0,5.0,2.0,1,4295*1760*1520,201104.0,2,,3.35,0
1064,118,2021-08-08,0.6,"{'2021-08-08': 0.6, '2021-08-15': '0.5', '2021-08-18': '0.2'}",2021-08-18,10,93,114,24.05,5,2,3,0,5,2009-06-01,2009-08-17,779413.0,1.0,2008.0,1.6,6,1,8.18,1.0,2,2,73.0,11,2,,1.0,4.0,3.0,1,4352*1794*1464,,1,,0.2,10
1500,1336,2021-08-18,24.5,{'2021-08-18': 24.5},2021-08-18,18,33,1150,3.23,3,1,1,0,5,2018-06-01,2018-07-31,779412.0,2.0,2018.0,2.0,13,1,34.68,1.0,6,2,153.0,23,2,,2.0,4.0,3.0,1+2,4650*1811*1454,201709.0,2,,24.5,0
1908,1369,2021-08-18,3.04,{'2021-08-18': 3.04},2021-08-18,2,10,1175,9.61,2,2,2,0,5,2011-11-01,2012-01-13,779415.0,2.0,2011.0,1.6,4,1,10.79,1.0,4,2,100.0,2,2,,1.0,4.0,3.0,1,4300*1690*1490,201104.0,2,,3.04,0
514,21084,2021-08-18,25.3,{'2021-08-18': 25.3},2021-08-18,20,118,4618,11.76,2,14,1,1,5,2017-12-01,2018-01-10,779412.0,2.0,2018.0,2.0,19,1,49.2,1.0,3,2,91.0,21,1,2021-05-28,2.0,5.0,,3+2,4661*1898*1664,201710.0,2,,25.3,0
1993,66412,2021-07-17,10.8,"{'2021-07-17': 10.8, '2021-07-24': '10.6', '2021-07-31': '10.5', '2021-08-06': '10.3', '2021-08-07': '9.8', '2021-08-11': '9.5', '2021-08-18': '11'}",2021-08-18,7,7,11616,3.79,1,1,1,1,5,2016-04-01,2016-06-15,779415.0,2.0,2016.0,2.0,20,1,16.78,1.0,5,2,44.0,7,1,2021-07-16,1.0,5.0,2.0,1+2,4384*1837*1612,201510.0,1,,11.0,32
573,51509,2021-07-26,16.6,"{'2021-07-26': 16.6, '2021-08-18': '17.3'}",2021-08-18,11,63,71,6.72,1,1,1,1,5,2015-01-01,2015-07-07,779412.0,2.0,2015.0,2.0,7,1,35.3,1.0,6,2,,12,2,2021-05-11,2.0,4.0,3.0,1+2,4761*1826*1439,201406.0,1,,17.3,23
1187,48,2021-08-18,20.67,{'2021-08-18': 20.67},2021-08-18,12,44,48,2.19,2,1,1,0,5,2018-05-01,2018-06-07,779415.0,2.0,2017.0,2.0,19,1,27.98,1.0,3,2,33.0,13,1,,2.0,5.0,2.0,1+2,4825*1942*1670,201703.0,1,,20.67,0
1190,1289,2021-08-18,2.13,{'2021-08-18': 2.13},2021-08-18,25,308,1115,5.66,1,4,2,0,5,2014-06-01,2014-08-12,779413.0,1.0,2014.0,1.4,1,1,5.69,1.0,7,2,,28,3,,1.0,5.0,2.0,1,3730*1650*1530,201403.0,1,2038-04-18,2.13,0
508,887,2021-08-18,2.74,{'2021-08-18': 2.74},2021-08-18,52,355,801,6.72,1,3,1,0,5,2017-12-01,2018-03-07,779413.0,1.0,2017.0,1.5,6,1,7.98,1.0,3,2,121.0,57,1,,2.0,5.0,2.0,1,4631*1893*1694,201701.0,1,,2.74,0
1680,512,2021-08-18,3.7,{'2021-08-18': 3.7},2021-08-18,47,150,484,6.72,1,1,2,1,5,2013-12-01,2014-01-07,779414.0,2.0,2013.0,1.6,17,1,11.78,1.0,2,2,,51,2,2018-03-13,1.0,4.0,3.0,1+2,4588*1773*1486,201304.0,2,2037-08-18,3.7,0
1479,1597,2021-08-18,5.6,{'2021-08-18': 5.6},2021-08-18,8,219,1335,10.53,1,1,1,1,5,2016-07-01,2016-09-07,779412.0,2.0,2015.0,1.6,3,1,12.19,1.0,2,1,,10,2,2019-03-27,1.0,4.0,3.0,1,4605*1765*1460,201507.0,1,,5.6,0
517,755,2021-08-18,3.07,{'2021-08-18': 3.07},2021-08-18,47,333,699,4.08,1,1,2,0,5,2014-03-01,2014-04-29,,,2014.0,1.6,17,1,10.28,1.0,2,2,,51,2,,,,,1,4427*1748*1476,201309.0,2,,3.07,0
316,33162,2021-07-07,23.38,"{'2021-07-07': 23.38, '2021-07-18': '20.5', '2021-08-18': '19.8'}",2021-08-18,11,63,928,7.97,5,5,1,1,5,2016-11-01,2017-02-10,779412.0,2.0,2017.0,2.0,7,1,33.98,1.0,6,2,50.0,12,2,2021-01-19,2.0,4.0,3.0,1+2,4818*1843*1432,201609.0,1,,19.8,42
355,9381,2021-08-18,11.3,{'2021-08-18': 11.3},2021-08-18,30,347,2701,11.33,6,1,2,1,5,2012-12-01,2013-05-09,779418.0,2.0,2013.0,2.0,23,1,47.49,1.0,3,2,,68,1,2021-06-08,2.0,5.0,2.0,1+2,4627*1891*1713,201209.0,1,,11.3,0
1404,52546,2021-08-18,38.8,{'2021-08-18': 38.8},2021-08-18,46,513,9573,4.54,8,1,1,0,5,2016-02-01,2016-06-02,779411.0,3.0,2016.0,3.0,13,1,89.8,1.0,16,2,,115,2,,4.0,4.0,3.0,3+2,5265*1899*1460,201512.0,1,,38.8,0
104,1577,2021-08-18,10.2,{'2021-08-18': 10.2},2021-08-18,61,348,1323,5.91,4,2,1,1,5,2017-08-01,2018-01-26,,1.0,2017.0,2.0,7,1,17.58,1.0,3,2,272.0,9,1,2020-04-10,2.0,5.0,2.0,1+2,4749*1931*1655,201704.0,1,,10.2,0
1700,42698,2021-08-18,23.8,{'2021-08-18': 23.8},2021-08-18,125,1099,8023,0.8,4,17,4,0,5,2021-02-01,2021-03-30,,,2021.0,2.0,13,1,21.38,1.0,5,2,358.0,9,1,,,,,1+2,4760*1930*1927,202012.0,2,,23.8,0
516,489,2021-08-18,8.4,{'2021-08-18': 8.4},2021-08-18,68,271,461,8.85,1,1,1,1,5,2016-07-01,2016-08-26,,,2016.0,2.3,3,1,16.98,1.0,5,2,202.0,78,1,2021-08-09,,,,1,4630*1843*1861,201604.0,2,,8.4,0
1909,71385,2021-08-18,16.7,{'2021-08-18': 16.7},2021-08-18,54,195,12316,11.48,6,1,2,0,7,2011-05-01,2011-07-08,779415.0,3.0,2011.0,3.0,21,1,45.3,1.0,11,2,148.0,60,1,,1.0,5.0,2.0,1,4900*1875*1900,201011.0,1,,16.7,0
666,56123,2021-08-11,32.58,"{'2021-08-11': 32.58, '2021-08-19': '31.88'}",2021-08-19,2,34,10111,1.78,2,1,4,1,7,2020-04-01,2020-04-30,779415.0,2.0,2018.0,2.0,3,1,32.58,1.0,3,2,26.0,24,1,2021-07-29,2.0,5.0,,1+2,4890*1925*1715,201907.0,2,,31.88,8
