carid,pushDate,pushPrice,updatePriceTimeJson,pullDate,withdrawDate,展销时间,品牌 id,车系 id,车型 id,里程,车辆颜色,车辆所在城市 id,国标码,过户次数,载客人数,注册日期,上牌日期,国别,厂商类型,年款,排量,变速箱,燃油类型,新车价,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,target,成交周期
67292,2020-06-25,5.38,{},2020-07-20,2020-07-20,2020-06-25,11,15,11728,15.87,2,13,3.0,0,5,2007-10-01,2007-12-12,779412.0,2.0,2005.0,2.0,12.0,1,34.98,1.0,8,2,,12,2,,2.0,4.0,3.0,1+2,5012*1855*1485,,2,,5.38,25.0
6007,2021-01-11,6.5,{},2021-01-14,2021-01-14,2021-01-11,50,180,2104,12.32,5,3,2.0,0,5,2011-02-01,2011-07-15,779415.0,3.0,2011.0,2.5,17.0,1,26.98,1.0,5,2,139.0,54,1,,1.0,5.0,2.0,1+2,4560*1780*1700,201012.0,3,,6.5,3.0
44914,2021-06-18,6.18,{},2021-06-21,2021-06-21,2021-06-18,8,14,358,8.2,1,9,2.0,1,5,2013-04-01,2013-06-09,779412.0,2.0,2012.0,1.6,3.0,1,15.08,1.0,2,2,,8,2,2016-08-17,1.0,4.0,3.0,1+2,4644*1778*1482,201202.0,1,,6.18,3.0
41674,2020-04-20,3.96,{},2020-05-16,2020-05-16,2020-04-20,28,121,7875,2.61,4,15,1.0,0,5,2017-09-01,2018-01-31,,,2017.0,1.4,6.0,1,5.49,1.0,4,2,93.0,30,2,,,,,1,4300*1700*1460,201709.0,2,,3.96,26.0
31554,2020-04-12,45.0,"{""2020-04-14"": ""44.16"", ""2020-04-17"": ""43.98"", ""2020-05-06"": ""43.88""}",2020-05-14,2020-05-14,2020-05-06,18,243,6287,4.15,1,1,1.0,1,5,2016-06-01,2016-09-21,779412.0,3.0,2015.0,2.0,13.0,1,75.8,1.0,11,2,617.0,20,1,2020-01-07,2.0,5.0,2.0,3+2,4909*1938*1772,201509.0,2,,43.88,32.0
53842,2020-07-15,4.68,{},2020-09-16,2020-09-16,2020-07-15,2,349,9759,7.41,4,5,2.0,0,5,2014-07-01,2014-08-28,779415.0,2.0,2014.0,1.3,4.0,1,8.28,1.0,4,2,695.0,24,3,,1.0,5.0,2.0,1,4115*1700*1495,201311.0,2,,4.68,63.0
68623,2020-07-05,9.58,{},2020-07-06,2020-07-06,2020-07-05,8,39,11907,6.54,6,19,1.0,0,5,2017-07-01,2017-09-15,779412.0,2.0,2016.0,1.4,32.0,1,19.48,1.0,5,2,119.0,10,1,,2.0,5.0,2.0,1+2,4506*1809*1685,201609.0,1,,9.58,1.0
37576,2020-02-26,18.9899,{},2020-03-12,2020-03-12,2020-02-26,80,657,7184,3.72,1,1,1.0,0,5,2017-06-01,2017-12-27,,,2017.0,2.0,3.0,1,35.38,1.0,3,2,,133,1,,,,,3+2,4552*1864*1654,201611.0,1,,18.9899,15.0
16535,2021-05-08,3.5,"{""2021-05-25"": ""3.38"", ""2021-05-28"": ""3.28"", ""2021-06-08"": ""2.88""}",2021-06-13,2021-06-13,2021-06-08,2,10,3811,10.18,1,14,3.0,1,5,2008-05-01,2008-11-28,779415.0,2.0,2008.0,1.6,4.0,1,10.79,1.0,4,2,100.0,2,2,2017-08-07,1.0,4.0,3.0,1,4300*1690*1490,200810.0,1,,2.88,36.0
5845,2020-11-29,7.8,"{""2020-12-02"": ""7.5""}",2020-12-09,2020-12-09,2020-12-02,8,101,1284,14.06,2,19,2.0,0,5,2011-08-01,2011-09-02,779412.0,2.0,2012.0,1.8,31.0,1,25.18,1.0,6,2,,8,2,,2.0,4.0,3.0,1+2,4865*1820*1475,201105.0,1,,7.5,10.0
13342,2021-06-27,7.5,{},2021-07-04,2021-07-04,2021-06-27,11,15,3346,13.01,2,17,2.0,0,5,2010-05-01,2010-07-02,779412.0,2.0,2010.0,2.0,20.0,1,39.99,1.0,8,2,,12,2,,2.0,4.0,3.0,1+2,5035*1855*1485,200908.0,1,,7.5,7.0
49082,2021-02-21,11.5,"{""2021-03-15"": ""11.2"", ""2021-04-12"": ""11"", ""2021-04-13"": ""10.99"", ""2021-04-19"": ""11.58""}",2021-04-20,2021-04-20,2021-04-19,8,208,9004,4.03,5,1,1.0,1,5,2016-06-01,2016-08-09,779412.0,2.0,2016.0,1.4,16.0,1,17.19,1.0,2,2,119.0,8,3,2021-02-04,2.0,5.0,2.0,1+2,4255*1799*1452,201510.0,1,,11.58,58.0
71374,2020-11-13,0.8,{},2020-11-15,2020-11-15,2020-11-13,17,931,12314,6.51,2,17,2.0,0,5,2010-06-01,2010-07-02,779413.0,1.0,2010.0,2.0,6.0,1,10.98,1.0,6,2,251.0,19,2,,1.0,4.0,3.0,1+2,4846*1822*1465,201006.0,2,,0.8,2.0
1361,2021-07-09,9.5,{},2021-07-15,2021-07-15,2021-07-09,2,2,1168,3.93,5,2,1.0,0,5,2019-12-01,2020-01-07,779415.0,2.0,2019.0,1.2,30.0,1,12.78,1.0,2,2,357.0,2,2,,2.0,4.0,,1+2,4635*1780*1455,201908.0,2,,9.5,6.0
44304,2021-06-13,8.0,{},2021-06-25,2021-06-25,2021-06-13,8,16,8265,0.46,6,1,4.0,0,5,2020-05-01,2020-09-08,,,2019.0,1.5,3.0,1,10.88,1.0,2,2,128.0,8,2,,,,,1,4562*1793*1468,202010.0,1,,8.0,12.0
56918,2021-02-06,7.3,{},2021-02-24,2021-02-24,2021-02-06,5,67,10218,8.48,1,1,2.0,1,5,2014-05-01,2014-10-24,779416.0,2.0,2014.0,2.0,3.0,1,17.89,1.0,6,2,,5,2,2021-09-09,1.0,4.0,3.0,1+2,4843*1856*1484,201309.0,1,,7.3,18.0
1228,2021-07-14,2.71,{},2021-07-18,2021-07-18,2021-07-14,16,290,528,10.1,8,1,2.0,0,5,2008-09-01,2008-10-22,779415.0,2.0,2007.0,2.0,21.0,1,18.98,1.0,6,2,214.0,18,2,,1.0,4.0,3.0,1+2,4670*1780*1435,,2,,2.71,4.0
58823,2021-03-12,11.98,{},2021-03-13,2021-03-13,2021-03-12,3,3,900,11.02,6,19,1.0,0,5,2016-08-01,2016-09-29,779416.0,2.0,2016.0,2.0,3.0,1,24.98,1.0,3,2,3.0,3,1,,2.0,5.0,2.0,1+2,4878*1925*1734,201605.0,1,,11.98,1.0
12980,2021-06-17,16.5,"{""2021-06-18"": ""15.8"", ""2021-06-20"": ""15"", ""2021-06-22"": ""15.5""}",2021-06-28,2021-06-28,2021-06-22,11,205,3301,2.21,1,1,1.0,0,5,2017-07-01,2017-11-07,779412.0,2.0,2017.0,1.4,23.0,1,29.08,1.0,5,2,,12,1,,2.0,5.0,2.0,1+2,4398*1841*1591,201701.0,1,,15.5,11.0
53960,2021-07-12,10.28,{},2021-07-23,2021-07-23,2021-07-12,3,137,9782,1.17,3,2,4.0,0,5,2019-05-01,2019-12-09,779416.0,2.0,2020.0,1.5,13.0,1,15.08,1.0,2,2,488.0,3,3,,2.0,5.0,,1+2,4404*1810*1454,201907.0,2,,10.28,11.0
39222,2020-09-09,1.78,{},2020-09-14,2020-09-14,2020-09-09,32,139,7470,8.2,4,14,2.0,0,5,2013-06-01,2013-09-30,779415.0,2.0,2013.0,1.3,6.0,1,5.98,1.0,4,2,348.0,34,3,,1.0,5.0,2.0,1,3765*1690*1510,201303.0,2,,1.78,5.0
29509,2021-02-23,18.98,{},2021-03-07,2021-03-07,2021-02-23,5,31,5957,4.53,1,1,1.0,1,7,2017-06-01,2017-08-08,779416.0,2.0,2017.0,2.5,3.0,1,26.99,1.0,10,2,,5,6,2019-08-05,1.0,5.0,2.0,1+2,5256*1878*1776,201702.0,1,,18.98,12.0
12021,2021-03-14,15.38,{},2021-03-18,2021-03-18,2021-03-14,18,136,595,4.03,1,1,1.0,0,5,2015-12-01,2016-04-06,779412.0,2.0,2015.0,2.0,13.0,1,28.5,1.0,5,2,34.0,23,1,,2.0,5.0,2.0,1+2,4484*1798*1577,201506.0,1,,15.38,4.0
12301,2020-08-07,5.58,"{""2020-08-26"": ""4.88""}",2020-08-27,2020-08-27,2020-08-26,13,18,3170,5.44,1,1,1.0,1,5,2015-02-01,2015-11-20,779416.0,2.0,2013.0,1.6,3.0,1,14.99,1.0,2,2,54.0,14,4,2016-11-08,2.0,5.0,2.0,1+2,4510*1797*1477,201309.0,2,,4.88,20.0
13752,2020-11-10,7.95,{},2020-11-30,2020-11-30,2020-11-10,8,14,3418,3.57,1,7,1.0,0,5,2017-02-01,2017-08-22,779412.0,2.0,2017.0,1.6,3.0,1,14.38,1.0,2,2,195.0,8,2,,1.0,4.0,3.0,1+2,4655*1780*1453,201609.0,2,2020-11-09,7.95,20.0
52928,2021-05-28,11.0,{},2021-06-06,2021-06-06,2021-05-28,3,321,9613,10.72,2,14,2.0,0,5,2014-11-01,2015-01-10,779416.0,3.0,2012.0,2.0,9.0,1,35.68,1.0,3,2,,81,1,,2.0,5.0,2.0,1+2,4699*1930*1705,201108.0,2,,11.0,9.0
70420,2020-12-13,25.5,"{""2020-12-17"": ""25""}",2020-12-17,2020-12-17,2020-12-17,11,15,12146,6.71,2,1,1.0,0,5,2015-11-01,2016-01-07,779412.0,2.0,2014.0,2.5,2.0,1,42.95,1.0,8,2,,12,2,,1.0,4.0,3.0,"1+2,4+2",5015*1874*1455,201401.0,1,,25.0,4.0
35620,2020-10-31,4.7,{},2020-11-14,2020-11-14,2020-10-31,2,2,6908,5.69,1,1,3.0,0,5,2008-02-01,2008-02-29,779415.0,2.0,2007.0,1.8,4.0,1,15.98,1.0,2,2,88.0,2,2,,1.0,4.0,3.0,1+2,4540*1760*1490,,2,,4.7,14.0
49571,2021-07-02,16.88,{},2021-07-25,2021-07-25,2021-07-02,73,648,9075,1.54,2,1,4.0,0,5,2020-12-01,2021-01-08,779413.0,1.0,2019.0,2.0,3.0,1,19.98,1.0,3,2,500.0,87,1,,2.0,5.0,,1+2,4760*1907*1700,201905.0,1,,16.88,23.0
65417,2020-11-07,30.5,{},2020-11-11,2020-11-11,2020-11-07,2,161,11460,18.72,1,1,2.0,1,7,2010-05-01,2010-07-28,779415.0,2.0,2010.0,4.0,21.0,1,63.8,1.0,11,2,322.0,2,1,2020-07-20,1.0,5.0,2.0,3+2,4820*1885*1890,201006.0,2,,30.5,4.0
68017,2020-05-02,9.5,"{""2020-05-06"": ""9.2""}",2020-09-18,2020-09-18,2020-05-06,68,271,461,4.45,9,81,1.0,1,5,2016-07-01,2016-08-24,0.0,1.0,2016.0,2.3,3.0,1,16.98,1.0,5,2,202.0,78,1,2019-11-07,2.0,4.0,2.0,1,4630*1843*1861,201604.0,1,,9.2,139.0
18782,2021-06-30,25.5,{},2021-07-10,2021-07-10,2021-06-30,11,15,4215,6.83,2,1,1.0,1,5,2017-02-01,2017-06-28,779412.0,2.0,2017.0,1.8,7.0,1,41.88,1.0,8,2,,12,2,2018-11-16,2.0,4.0,3.0,"1+2,4+2",5036*1874*1466,201609.0,1,,25.5,10.0
25192,2020-08-08,10.35,"{""2020-08-18"": ""9.8""}",2020-09-19,2020-09-19,2020-08-18,17,843,5246,2.24,4,19,1.0,0,5,2017-11-01,2018-06-08,,,2017.0,1.5,32.0,2,24.59,,5,1,19.0,19,1,,,,,"1+2,4+2",4565*1870*1700,201704.0,1,,9.8,42.0
67590,2021-06-25,8.98,"{""2021-07-06"": ""8.8""}",2021-07-06,2021-07-06,2021-07-06,8,11,277,8.94,2,1,1.0,0,5,2013-02-01,2013-04-16,779412.0,2.0,2013.0,1.8,16.0,1,23.98,1.0,6,2,,10,2,,2.0,4.0,3.0,1+2,4870*1834*1472,201211.0,1,,8.8,11.0
50597,2020-10-23,0.78,"{""2020-11-09"": ""0.5""}",2020-11-15,2020-11-15,2020-11-09,64,829,9270,11.44,2,15,3.0,0,5,2011-11-01,2011-11-30,779413.0,1.0,2011.0,1.5,6.0,1,7.08,1.0,2,2,657.0,73,2,,1.0,4.0,3.0,1,4590*1765*1465,201009.0,1,,0.5,23.0
52137,2020-04-19,8.46,{},2020-05-14,2020-05-14,2020-04-19,23,793,9527,2.63,7,15,1.0,0,5,2017-12-01,2018-04-18,779419.0,2.0,2017.0,1.6,3.0,1,13.28,1.0,1,2,,25,1,,1.0,5.0,2.0,1,4290*1780*1627,201708.0,2,,8.46,25.0
8712,2020-08-05,10.88,{},2020-08-18,2020-08-18,2020-08-05,20,127,2574,11.21,5,1,2.0,2,5,2011-07-01,2011-08-12,779412.0,2.0,2011.0,1.8,15.0,1,38.8,1.0,6,2,,21,2,2017-07-13,2.0,4.0,3.0,3+2,4591*1770*1444,201107.0,1,,10.88,13.0
26443,2021-01-23,3.2,{},2021-01-24,2021-01-24,2021-01-23,25,97,1304,5.67,1,1,2.0,0,5,2016-06-01,2016-10-14,779413.0,1.0,2016.0,1.6,17.0,1,7.89,1.0,2,2,269.0,28,2,,1.0,4.0,3.0,1,4620*1820*1510,201607.0,1,,3.2,1.0
70605,2020-12-16,7.58,"{""2020-12-18"": ""7.38"", ""2020-12-21"": ""7.2"", ""2020-12-27"": ""7"", ""2021-01-06"": ""6.88""}",2021-02-20,2021-02-20,2021-01-06,17,480,12153,11.7,1,19,1.0,0,5,2017-09-01,2017-10-23,,,2017.0,1.5,32.0,2,18.59,1.0,2,2,19.0,19,2,,,,,1,4740*1770*1480,201707.0,2,,6.88,66.0
15513,2021-04-09,20.58,{},2021-04-26,2021-04-26,2021-04-09,18,629,3659,4.79,1,14,1.0,0,5,2018-07-01,2018-10-09,779412.0,3.0,2019.0,1.5,3.0,2,39.38,1.0,5,2,,23,1,,2.0,5.0,,1+2,4565*1821*1613,201808.0,1,,20.58,17.0
62077,2020-09-21,17.88,{},2020-09-24,2020-09-24,2020-09-21,18,33,10940,10.83,1,1,2.0,0,5,2014-01-01,2014-02-28,,,2014.0,2.0,13.0,1,46.6,1.0,6,2,34.0,23,2,,,,,1+2,4624*1811*1455,201402.0,1,,17.88,3.0
72059,2020-09-01,8.8,"{""2020-09-02"": ""9.4""}",2020-09-03,2020-09-03,2020-09-02,11,63,12415,8.13,1,1,2.0,0,5,2010-08-01,2010-09-03,779412.0,2.0,2010.0,2.0,2.0,1,36.98,1.0,6,2,,12,2,,2.0,4.0,3.0,1+2,4763*1826*1426,200908.0,1,,9.4,2.0
26692,2020-08-25,7.5,"{""2020-09-03"": ""7.38"", ""2020-09-04"": ""6.98""}",2020-09-13,2020-09-13,2020-09-04,9,111,5497,1.51,1,1,1.0,0,5,2017-01-01,2017-01-22,779413.0,1.0,2017.0,1.5,3.0,1,12.18,1.0,5,2,85.0,9,1,,2.0,5.0,2.0,1+2,4681*1827*1710,201610.0,2,,6.98,19.0
60642,2020-10-24,23.3,"{""2020-10-25"": ""21.9""}",2020-10-27,2020-10-27,2020-10-25,18,45,49,3.22,5,1,1.0,1,5,2016-03-01,2016-08-22,779412.0,3.0,2015.0,2.0,13.0,1,45.7,1.0,8,2,34.0,20,2,2020-06-30,2.0,4.0,3.0,3+2,4915*1860*1487,201605.0,1,,21.9,3.0
34150,2021-03-21,2.68,"{""2021-04-20"": ""2.58"", ""2021-05-17"": ""7.98""}",2021-06-13,2021-06-13,2021-05-17,17,592,6717,6.34,1,17,,0,5,2016-04-01,2016-04-21,779413.0,1.0,2015.0,2.0,23.0,2,27.98,1.0,3,2,325.0,19,1,,,5.0,,3+2,4815*1855*1720,201506.0,2,,7.98,84.0
1045,2021-06-08,7.44,{},2021-06-18,2021-06-18,2021-06-08,27,46,933,14.15,4,1,2.0,2,5,2010-03-01,2010-05-20,779411.0,3.0,2010.0,3.2,3.0,1,64.8,,3,2,35.0,29,1,2019-04-07,1.0,5.0,2.0,1+2,4500*2005*1765,200911.0,2,,7.44,10.0
59731,2020-11-25,26.8,"{""2021-02-05"": ""25.4"", ""2021-03-10"": ""24.8""}",2021-04-19,2021-04-19,2021-03-10,12,224,1267,3.87,6,3,1.0,0,7,2018-03-01,2018-05-08,779415.0,2.0,2016.0,2.4,11.0,1,29.28,1.0,12,2,330.0,13,6,,1.0,5.0,2.0,1+2,4940*1845*1710,201601.0,2,,24.8,145.0
36986,2020-03-05,6.88,{},2020-04-06,2020-04-06,2020-03-05,22,309,7117,2.15,1,2,1.0,0,5,2018-06-01,2018-08-29,,,2018.0,1.5,4.0,1,9.98,1.0,1,2,237.0,22,1,,,,,1,4314*1809*1648,201803.0,1,,6.88,32.0
469,2021-07-03,3.7,{},2021-07-10,2021-07-10,2021-07-03,23,68,441,14.65,2,1,2.0,0,5,2012-09-01,2012-09-24,779419.0,2.0,2011.0,1.6,4.0,1,12.08,1.0,2,2,36.0,25,2,,1.0,4.0,3.0,1,4543*1777*1490,201105.0,1,,3.7,7.0
9312,2021-03-18,24.8,"{""2021-03-28"": ""24.1""}",2021-04-21,2021-04-21,2021-03-28,20,127,814,3.09,1,3,1.0,1,5,2018-03-01,2018-05-23,779412.0,2.0,2018.0,2.0,19.0,1,31.28,1.0,6,2,91.0,21,2,2021-03-17,2.0,4.0,,1+2,4714*1810*1442,201711.0,2,,24.1,34.0
32699,2021-02-10,14.3,{},2021-02-20,2021-02-20,2021-02-10,23,77,6506,3.59,1,1,1.0,0,7,2016-12-01,2017-02-20,779419.0,2.0,2017.0,2.0,3.0,1,28.98,1.0,3,2,,25,1,,2.0,5.0,2.0,1+2,4730*1880*1686,201609.0,2,,14.3,10.0
23361,2020-02-26,12.5,{},2020-07-26,2020-07-26,2020-02-26,2,285,5001,10.78,4,45,2.0,0,5,2011-07-01,2011-08-31,779415.0,2.0,2010.0,2.5,3.0,1,25.98,1.0,6,2,210.0,2,2,,1.0,4.0,3.0,3+2,4735*1795*1450,201009.0,1,2100-08-30,12.5,151.0
39941,2020-11-26,7.63,{},2020-11-27,2020-11-27,2020-11-26,17,637,7601,1.12,4,19,4.0,0,5,2019-08-01,2019-09-03,,,2019.0,1.5,32.0,1,10.98,1.0,5,2,115.0,19,1,,,,,1+2,4650*1860*1700,201907.0,1,,7.63,1.0
20796,2020-01-08,2.8,"{""2020-01-10"": ""2.6"", ""2020-01-12"": ""2.7""}",2020-01-13,2020-01-13,2020-01-12,47,150,197,12.16,5,15,2.0,0,5,2011-10-01,2011-10-25,779414.0,2.0,2011.0,1.6,17.0,1,11.88,1.0,2,2,,51,2,,1.0,4.0,3.0,1+2,4556*1773*1486,201009.0,1,,2.7,5.0
63799,2020-07-30,12.38,{},2020-08-14,2020-08-14,2020-07-30,54,453,11209,2.62,1,3,1.0,0,7,2018-04-01,2018-07-25,,,2018.0,2.0,5.0,1,17.48,1.0,5,2,369.0,83,1,,,,,1+2,4705*1810*1710,201708.0,2,,12.38,15.0
18098,2020-03-18,7.88,{},2020-03-18,2020-03-18,2020-03-18,7,113,271,2.84,1,14,1.0,0,5,2016-05-01,2016-10-13,779415.0,2.0,2016.0,1.6,11.0,1,13.98,1.0,2,2,89.0,7,2,,1.0,4.0,3.0,1,4631*1760*1503,201603.0,2,,7.88,0.0
64785,2020-07-08,19.5,{},2020-07-15,2020-07-15,2020-07-08,11,238,872,6.46,1,1,1.0,0,5,2015-01-01,2015-03-18,,,2015.0,2.0,13.0,1,43.16,1.0,3,2,,12,1,,,,,1+2,4629*1898*1655,201412.0,2,,19.5,7.0
50277,2020-11-12,12.68,"{""2020-11-16"": ""12.58""}",2020-11-16,2020-11-16,2020-11-16,11,186,477,4.22,1,1,1.0,1,5,2016-07-01,2016-09-05,779412.0,2.0,2016.0,1.4,31.0,1,21.52,1.0,2,2,,12,2,2016-10-11,2.0,4.0,2.0,1+2,4462*1796*1421,201604.0,2,,12.58,4.0
53329,2021-04-26,21.0,"{""2021-05-05"": ""20.8""}",2021-05-09,2021-05-09,2021-05-05,18,33,9691,4.68,1,17,1.0,0,5,2016-09-01,2016-11-21,779412.0,2.0,2017.0,2.0,13.0,1,32.59,1.0,6,2,153.0,23,2,,2.0,4.0,3.0,1+2,4753*1811*1455,201609.0,1,,20.8,13.0
32952,2021-01-20,13.6,{},2021-01-23,2021-01-23,2021-01-20,2,187,6541,2.06,6,17,1.0,0,5,2019-01-01,2019-03-28,779415.0,2.0,2016.0,2.0,2.0,1,17.68,1.0,5,2,321.0,2,1,,1.0,5.0,2.0,1+2,4600*1845*1690,201607.0,1,,13.6,3.0
1003,2021-06-26,3.3,{},2021-09-28,2021-09-28,2021-06-26,1,207,311,5.73,8,2,2.0,0,5,2015-11-01,2016-01-15,779413.0,1.0,2015.0,1.8,6.0,1,8.98,1.0,5,2,158.0,1,1,,1.0,5.0,2.0,1,4620*1820*1750,201507.0,2,,3.3,94.0
17339,2020-06-27,13.0,"{""2020-07-13"": ""13""}",2020-07-17,2020-07-17,2020-07-13,20,95,3946,12.41,5,13,2.0,4,5,2011-09-01,2012-01-11,779412.0,2.0,2011.0,3.0,15.0,1,59.6,1.0,8,2,,21,2,2020-06-23,1.0,4.0,3.0,3+2,5012*1855*1464,201109.0,2,,13.0,20.0
67984,2021-01-01,9.25,"{""2021-01-11"": ""8.8""}",2021-01-11,2021-01-11,2021-01-11,68,271,461,2.83,4,1,1.0,0,5,2016-05-01,2016-06-07,0.0,1.0,2016.0,2.3,3.0,1,16.98,1.0,5,1,202.0,78,1,,2.0,4.0,2.0,1,4630*1843*1861,201604.0,1,,8.8,10.0
66233,2021-02-25,11.6,{},2021-02-27,2021-02-27,2021-02-25,44,249,11583,2.11,3,1,1.0,0,5,2016-06-01,2016-08-22,779416.0,3.0,2016.0,2.0,19.0,1,21.98,1.0,3,2,,46,1,,1.0,5.0,2.0,1+2,4649*1859*1686,201512.0,1,,11.6,2.0
63289,2021-06-13,11.38,"{""2021-07-06"": ""9.9""}",2021-09-11,2021-09-11,2021-07-06,12,902,11146,15.44,2,14,2.0,1,5,2012-09-01,2013-10-25,779415.0,2.0,2011.0,3.5,21.0,1,39.88,1.0,6,2,727.0,16,4,2018-08-28,1.0,5.0,2.0,1+2,4995*1900*1560,201010.0,1,,9.9,90.0
13916,2020-04-10,7.8,{},2020-04-25,2020-04-25,2020-04-10,7,234,3407,6.13,3,1,1.0,0,5,2015-11-01,2016-04-11,779415.0,2.0,2016.0,1.6,11.0,1,13.19,1.0,2,2,68.0,7,2,,1.0,4.0,3.0,1,4683*1780*1465,201510.0,1,,7.8,15.0
50080,2021-05-20,13.8,"{""2021-05-22"": ""13.5"", ""2021-05-25"": ""13"", ""2021-05-28"": ""12.8"", ""2021-06-04"": ""13.98"", ""2021-06-11"": ""13.2""}",2021-06-17,2021-06-17,2021-06-11,8,292,535,9.36,1,1,1.0,1,5,2014-06-01,2015-08-10,779412.0,3.0,2012.0,2.0,23.0,1,36.06,1.0,6,2,,58,9,2021-04-06,2.0,5.0,2.0,1+2,4771*1820*1516,201111.0,1,,13.2,28.0
25337,2021-03-21,7.98,{},2021-04-07,2021-04-07,2021-03-21,8,135,5274,3.26,7,1,1.0,0,5,2018-04-01,2018-07-23,779412.0,2.0,2018.0,1.5,3.0,1,11.49,1.0,4,2,372.0,10,10,,1.0,5.0,,1,3987*1705*1486,201805.0,1,,7.98,17.0
46918,2020-06-27,6.88,{},2020-07-20,2020-07-20,2020-06-27,12,71,233,7.64,5,17,2.0,0,5,2013-06-01,2013-09-27,779415.0,2.0,2012.0,1.8,22.0,1,13.98,1.0,2,2,127.0,13,2,,1.0,4.0,3.0,1+2,4535*1755*1450,201109.0,2,,6.88,23.0
51121,2020-11-27,13.5,"{""2020-12-03"": ""12.8""}",2020-12-16,2020-12-16,2020-12-03,11,63,614,14.28,2,1,2.0,2,5,2013-03-01,2013-05-09,,,2013.0,2.0,2.0,1,32.99,1.0,6,2,,12,2,2020-11-04,,,,1+2,4761*1826*1439,201208.0,1,,12.8,19.0
31104,2020-07-02,17.8,"{""2020-08-03"": ""17""}",2020-08-04,2020-08-04,2020-08-03,11,15,6187,15.28,1,19,2.0,0,5,2012-06-01,2013-04-25,779412.0,2.0,2012.0,2.5,2.0,1,43.28,1.0,8,2,,12,2,,1.0,4.0,3.0,"1+2,4+2",5015*1874*1455,201203.0,2,,17.0,33.0
12,2021-04-22,0.88,"{""2021-04-26"": ""0.78"", ""2021-06-15"": ""0.45"", ""2021-06-16"": ""0.3""}",2021-06-16,2021-06-16,2021-06-16,10,12,12,7.03,5,3,2.0,0,5,2011-10-01,2012-03-13,779413.0,1.0,2010.0,1.0,6.0,1,4.18,1.0,7,2,12.0,11,4,,1.0,5.0,3.0,,4150*1640*1535,201005.0,2,,0.3,55.0
67753,2021-06-13,36.2,{},2021-07-14,2021-07-14,2021-06-13,18,175,11769,4.06,5,7,2.0,0,5,2017-11-01,2018-02-13,779412.0,2.0,2018.0,2.0,13.0,1,47.69,1.0,8,2,205.0,23,2,,2.0,4.0,,3+2,5087*1868*1500,201802.0,1,2079-11-13,36.2,31.0
40532,2020-10-11,26.2,"{""2020-10-20"": ""26.18"", ""2020-10-28"": ""26"", ""2020-11-12"": ""25.9""}",2020-11-22,2020-11-22,2020-11-12,8,32,553,5.91,6,1,1.0,1,7,2017-03-01,2017-07-12,779412.0,2.0,2017.0,2.0,31.0,1,36.89,,11,2,223.0,10,1,2018-03-08,2.0,5.0,2.0,1+2,5039*1989*1773,201703.0,2,,25.9,42.0
13898,2021-05-30,6.9,"{""2021-06-16"": ""6.8""}",2021-06-29,2021-06-29,2021-06-16,7,234,3407,7.85,1,14,1.0,0,5,2016-10-01,2016-11-21,779415.0,2.0,2016.0,1.6,11.0,1,13.19,1.0,2,2,68.0,7,2,,1.0,4.0,3.0,1,4683*1780*1465,201510.0,2,,6.8,30.0
17140,2020-10-02,15.88,{},2020-10-18,2020-10-18,2020-10-02,8,101,3925,3.8,2,4,1.0,0,5,2018-01-01,2018-02-11,779412.0,2.0,2018.0,1.8,31.0,1,23.49,1.0,6,2,,8,2,,2.0,4.0,3.0,1+2,4866*1832*1464,201709.0,2,,15.88,16.0
32710,2020-09-12,10.88,{},2020-10-27,2020-10-27,2020-09-12,2,285,6508,11.32,1,17,2.0,1,5,2012-07-01,2012-11-01,779415.0,2.0,2010.0,2.5,3.0,1,20.98,1.0,6,2,210.0,2,2,2016-01-25,1.0,4.0,3.0,1+2,4735*1795*1450,201009.0,1,2038-11-12,10.88,45.0
56051,2020-09-22,18.88,"{""2020-10-04"": ""18.58"", ""2020-10-15"": ""17.8799""}",2020-10-24,2020-10-24,2020-10-15,18,289,10097,7.58,5,1,2.0,1,5,2013-07-01,2013-12-18,779412.0,2.0,2013.0,2.0,13.0,1,49.9,1.0,3,2,34.0,20,1,2020-06-13,2.0,5.0,2.0,1+2,4642*1881*1686,201212.0,2,,17.8799,32.0
34354,2020-04-20,8.28,{},2020-04-23,2020-04-23,2020-04-20,17,592,6717,5.32,1,17,1.0,0,5,2015-10-01,2015-11-02,779413.0,1.0,2015.0,2.0,32.0,2,27.98,1.0,3,2,325.0,19,1,,2.0,5.0,2.0,3+2,4815*1855*1720,201506.0,1,,8.28,3.0
41761,2020-06-17,18.8,{},2020-06-21,2020-06-21,2020-06-17,12,275,7900,7.0,1,17,1.0,0,7,2015-06-01,2015-07-06,779415.0,2.0,2015.0,2.4,11.0,1,29.98,1.0,12,2,204.0,16,6,,1.0,5.0,2.0,1+2,4830*1805*1695,201408.0,1,,18.8,4.0
5033,2020-05-16,8.28,"{""2020-05-30"": ""7.68""}",2020-06-06,2020-06-06,2020-05-30,15,22,75,7.07,6,14,1.0,0,5,2018-02-01,2018-02-24,779413.0,1.0,2017.0,1.5,3.0,1,14.38,1.0,5,2,18.0,17,1,,2.0,5.0,2.0,1,4510*1852*1708,201611.0,2,,7.68,21.0
